feature,importance
cp,0.8406919986193043
sex,0.6324934605906803
thalach,0.5931870158082443
ca,0.5652791459922631
thal,0.4732156969060479
age,0.46677034703793063
oldpeak,0.44882497896812396
risk_score,0.42720812843001815
hr_category,0.27304677211533956
slope,0.2720646920761894
trestbps,0.25489779464509105
exang,0.23172799858017426
restecg,0.2029939049880484
age_group,0.19597013711433506
chol,0.14408863784499656
age_hr_interaction,0.13171113274988555
bp_category,0.1253725418196158
cp_oldpeak_interaction,0.12408693678643522
chol_category,0.11013786675705654
age_chol_interaction,0.08115967922677583
fbs,0.050655667760095675
