feature,importance
calculated_bmi,0.07297740683610011
bmi_category,0.06273626709750915
weight,0.04255574999873001
age_bmi_interaction,0.028144724390893012
fcvc,0.015444789206372508
gender_encoded,0.015158142323216963
age,0.007898488850222955
family_history_with_overweight_encoded,0.007602266446059593
height,0.007200202615995116
ncp,0.005408453795071197
caec_encoded,0.005198413513458069
fcvc_ch2o_interaction,0.004876787346284225
calc_encoded,0.004561478917794914
tue,0.0031121479920553194
age_group,0.002926697190748391
ch2o,0.0026845991512406673
faf,0.0026502571244372236
favc_encoded,0.0024351677512417934
bmi_activity_interaction,0.002093081343431984
lifestyle_score,0.0014974016389934272
mtrans_encoded,0.0012691654868659539
scc_encoded,0.0005130124911696252
smoke_encoded,2.549918189368625e-05
